,date,code,open,close,volume
418,2018-09-17,sh.601398,5.3600,5.3200,83520949
419,2018-09-18,sh.601398,5.3300,5.3900,112659507
420,2018-09-19,sh.601398,5.3700,5.4400,176788092
421,2018-09-20,sh.601398,5.4400,5.4900,147709102
422,2018-09-21,sh.601398,5.5100,5.7500,328518208
423,2018-09-25,sh.601398,5.6700,5.6700,211804937
424,2018-09-26,sh.601398,5.6900,5.7000,232712067
425,2018-09-27,sh.601398,5.6900,5.6900,129820626
426,2018-09-28,sh.601398,5.6900,5.7700,200009558
427,2018-10-08,sh.601398,5.6300,5.5600,219553229
428,2018-10-09,sh.601398,5.5200,5.5300,147866755
429,2018-10-10,sh.601398,5.5400,5.5500,144822935
430,2018-10-11,sh.601398,5.4200,5.4000,237131043
431,2018-10-12,sh.601398,5.4000,5.5300,165117581
432,2018-10-15,sh.601398,5.5200,5.4300,105591949
433,2018-10-16,sh.601398,5.4300,5.4500,101667005
434,2018-10-17,sh.601398,5.5000,5.4300,186957421
435,2018-10-18,sh.601398,5.4200,5.3500,149785299
436,2018-10-19,sh.601398,5.3500,5.4800,248332011
437,2018-10-22,sh.601398,5.5000,5.6300,277270480
438,2018-10-23,sh.601398,5.6300,5.4700,204577208
439,2018-10-24,sh.601398,5.4600,5.6200,263417953
440,2018-10-25,sh.601398,5.5200,5.6500,220210580
441,2018-10-26,sh.601398,5.6600,5.6900,199253584
442,2018-10-29,sh.601398,5.6700,5.5800,186281937
443,2018-10-30,sh.601398,5.6100,5.6300,151732506
444,2018-10-31,sh.601398,5.6100,5.6300,151616071
445,2018-11-01,sh.601398,5.6500,5.5700,194632949
446,2018-11-02,sh.601398,5.6300,5.6400,340529472
447,2018-11-05,sh.601398,5.6100,5.5600,189829231
448,2018-11-06,sh.601398,5.5700,5.5300,158150570
449,2018-11-07,sh.601398,5.5300,5.5200,152755809
450,2018-11-08,sh.601398,5.5300,5.5300,122291827
451,2018-11-09,sh.601398,5.4700,5.3500,409908192
452,2018-11-12,sh.601398,5.3100,5.3600,191282653
453,2018-11-13,sh.601398,5.3100,5.3800,196667507
454,2018-11-14,sh.601398,5.3700,5.3100,177198818
455,2018-11-15,sh.601398,5.3100,5.3500,120825458
456,2018-11-16,sh.601398,5.3500,5.3400,139542989
457,2018-11-19,sh.601398,5.3600,5.4100,176829125
458,2018-11-20,sh.601398,5.3900,5.3500,143149717
459,2018-11-21,sh.601398,5.3100,5.3600,98323160
460,2018-11-22,sh.601398,5.3700,5.3600,79368533
461,2018-11-23,sh.601398,5.3600,5.3300,89781362
462,2018-11-26,sh.601398,5.3500,5.3500,87237881
463,2018-11-27,sh.601398,5.3500,5.3300,66113948
464,2018-11-28,sh.601398,5.3300,5.3500,77960374
465,2018-11-29,sh.601398,5.3700,5.3300,81464321
466,2018-11-30,sh.601398,5.3200,5.3300,61182737
467,2018-12-03,sh.601398,5.4100,5.4100,222347405
468,2018-12-04,sh.601398,5.4100,5.4200,96339272
469,2018-12-05,sh.601398,5.3800,5.4000,94894201
470,2018-12-06,sh.601398,5.3500,5.3500,112675587
471,2018-12-07,sh.601398,5.3500,5.3500,59598321
472,2018-12-10,sh.601398,5.3100,5.3300,80875151
473,2018-12-11,sh.601398,5.3300,5.3300,60702859
